annotation,occurrences,files,libraries,library_ids,source_spellings
Override,44622,5605,29,assertj-core;commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;commons-logging;fastjson;gson;guava;h2;httpclient;jackson-core;jackson-databind;joda-time;junit-jupiter-api;log4j-api;log4j-core;logback-classic;lombok;maven-plugin-api;mockito-core;mysql-connector-j;org.osgi.core;protobuf-java;retrofit;slf4j-api;spring-context;testng,Override;java.lang.Override
SuppressWarnings,4627,1717,28,assertj-core;commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;commons-logging;fastjson;gson;guava;h2;httpclient;jackson-core;jackson-databind;joda-time;junit-jupiter-api;log4j-api;log4j-core;logback-classic;lombok;maven-plugin-api;mockito-core;mysql-connector-j;org.osgi.core;protobuf-java;retrofit;spring-context;testng,SuppressWarnings;java.lang.SuppressWarnings
Deprecated,1970,703,28,assertj-core;commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;commons-logging;fastjson;gson;guava;h2;httpclient;jackson-core;jackson-databind;joda-time;junit-jupiter-api;log4j-api;log4j-core;logback-classic;lombok;maven-plugin-api;mockito-core;mysql-connector-j;protobuf-java;retrofit;slf4j-api;spring-context;testng,Deprecated;java.lang.Deprecated
Target,349,324,18,assertj-core;commons-lang;fastjson;gson;guava;httpclient;jackson-databind;junit-jupiter-api;log4j-api;log4j-core;logback-classic;lombok;mockito-core;protobuf-java;retrofit;slf4j-api;spring-context;testng,Target
Retention,341,315,18,assertj-core;commons-lang;fastjson;gson;guava;httpclient;jackson-databind;junit-jupiter-api;log4j-api;log4j-core;logback-classic;lombok;mockito-core;protobuf-java;retrofit;slf4j-api;spring-context;testng,Retention
FunctionalInterface,207,181,16,assertj-core;commons-beanutils;commons-collections;commons-io;commons-lang;fastjson;guava;httpclient;jackson-databind;junit-jupiter-api;log4j-core;mockito-core;mysql-connector-j;org.osgi.core;spring-context;testng,FunctionalInterface
Documented,189,189,14,assertj-core;gson;guava;httpclient;junit-jupiter-api;log4j-api;log4j-core;lombok;mockito-core;protobuf-java;retrofit;slf4j-api;spring-context;testng,Documented
Nullable,7237,828,8,guava;junit-jupiter-api;log4j-api;log4j-core;mockito-core;retrofit;spring-context;testng,Nullable;org.jspecify.annotations.Nullable
SafeVarargs,187,59,8,assertj-core;commons-collections;commons-io;commons-lang;fastjson;guava;log4j-core;mockito-core,SafeVarargs
Test,12435,970,6,commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;mysql-connector-j,Test
CheckReturnValue,391,134,6,assertj-core;gson;guava;mockito-core;protobuf-java;slf4j-api,CheckReturnValue;com.google.errorprone.annotations.CheckReturnValue
BeforeEach,257,257,6,commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;mysql-connector-j,BeforeEach
AfterEach,126,126,6,commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;mysql-connector-j,AfterEach
Disabled,39,26,6,commons-beanutils;commons-codec;commons-collections;commons-io;commons-lang;mysql-connector-j,Disabled
NullMarked,97,97,5,guava;junit-jupiter-api;log4j-api;log4j-core;spring-context,NullMarked;org.jspecify.annotations.NullMarked
CanIgnoreReturnValue,1096,235,4,assertj-core;gson;guava;protobuf-java,CanIgnoreReturnValue
ParameterizedTest,460,106,4,commons-codec;commons-collections;commons-io;commons-lang,ParameterizedTest
MethodSource,390,71,4,commons-codec;commons-collections;commons-io;commons-lang,MethodSource
Contract,257,180,4,assertj-core;httpclient;junit-jupiter-api;spring-context,Contract
ValueSource,42,24,4,commons-codec;commons-collections;commons-io;commons-lang,ValueSource
Inherited,37,35,4,junit-jupiter-api;mockito-core;spring-context;testng,Inherited
Timeout,20,7,4,commons-beanutils;commons-codec;commons-io;commons-lang,Timeout
NullUnmarked,11,8,4,guava;log4j-api;log4j-core;spring-context,NullUnmarked;org.jspecify.annotations.NullUnmarked
BeforeAll,10,10,4,commons-beanutils;commons-codec;commons-io;commons-lang,BeforeAll
InlineMe,83,38,3,gson;guava;protobuf-java,InlineMe
Version,71,71,3,log4j-api;log4j-core;org.osgi.core,Version
TempDir,42,41,3,commons-codec;commons-io;commons-lang,TempDir
IgnoreJRERequirement,28,18,3,gson;guava;retrofit,IgnoreJRERequirement
TestFactory,8,5,3,commons-collections;commons-io;commons-lang,TestFactory
AfterAll,5,5,3,commons-codec;commons-io;commons-lang,AfterAll
CsvSource,5,5,3,commons-collections;commons-io;commons-lang,CsvSource
NonNull,99,18,2,guava;log4j-api,NonNull;org.jspecify.annotations.NonNull
Nested,97,3,2,commons-collections;commons-lang,Nested
PerformanceSensitive,95,65,2,log4j-api;log4j-core,PerformanceSensitive
GuardedBy,70,12,2,guava;retrofit,GuardedBy
Benchmark,59,10,2,commons-io;commons-lang,Benchmark
SuppressFBWarnings,59,44,2,log4j-api;log4j-core,SuppressFBWarnings
Export,58,58,2,log4j-api;log4j-core,Export
Beta,35,26,2,assertj-core;guava,Beta
DefaultLocale,26,11,2,commons-io;commons-lang,DefaultLocale
ProviderType,24,24,2,log4j-core;org.osgi.core,ProviderType
BenchmarkMode,17,10,2,commons-io;commons-lang,BenchmarkMode
DefaultTimeZone,17,8,2,commons-collections;commons-lang,DefaultTimeZone
OutputTimeUnit,17,10,2,commons-io;commons-lang,OutputTimeUnit
State,17,10,2,commons-io;commons-lang,State
Repeatable,14,14,2,junit-jupiter-api;spring-context,Repeatable
This,14,5,2,assertj-core;mockito-core,Advice.This;This
Warmup,14,7,2,commons-io;commons-lang,Warmup
Fork,13,6,2,commons-io;commons-lang,Fork
Measurement,13,6,2,commons-io;commons-lang,Measurement
Serial,11,11,2,assertj-core;junit-jupiter-api,Serial
ServiceProvider,10,10,2,log4j-api;log4j-core,ServiceProvider
JsonCreator,7,7,2,jackson-databind;log4j-core,JsonCreator
SupportedAnnotationTypes,7,7,2,log4j-core;lombok,SupportedAnnotationTypes
BaselineIgnore,6,6,2,log4j-api;log4j-core,BaselineIgnore
CartesianTest,6,2,2,commons-io;commons-lang,CartesianTest
ServiceConsumer,6,6,2,log4j-api;log4j-core,ServiceConsumer
Nonnull,5,5,2,log4j-api;retrofit,Nonnull
RuntimeType,5,4,2,assertj-core;mockito-core,RuntimeType
WritesDefaultLocale,5,4,2,commons-lang;junit-jupiter-api,WritesDefaultLocale
FieldValue,4,3,2,assertj-core;mockito-core,FieldValue
SuperCall,4,4,2,assertj-core;mockito-core,SuperCall
JsonValue,3,3,2,jackson-databind;log4j-core,JsonValue
TypeQualifierDefault,3,3,2,log4j-api;retrofit,TypeQualifierDefault
EnabledIfSystemProperty,2,2,2,commons-lang;junit-jupiter-api,EnabledIfSystemProperty
StubValue,2,2,2,assertj-core;mockito-core,StubValue
ParametricNullness,1119,155,1,guava,ParametricNullness
GwtIncompatible,807,287,1,guava,GwtIncompatible;Partially.GwtIncompatible
J2ktIncompatible,650,252,1,guava,J2ktIncompatible
API,399,137,1,junit-jupiter-api,API
GwtCompatible,334,333,1,guava,GwtCompatible
PluginBuilderAttribute,279,54,1,log4j-core,PluginBuilderAttribute
Plugin,221,187,1,log4j-core,Plugin
PluginAttribute,204,55,1,log4j-core,PluginAttribute
VisibleForTesting,159,63,1,guava,VisibleForTesting
DoNotCall,125,23,1,guava,DoNotCall
Provides,121,98,1,lombok,Provides
PluginElement,116,64,1,log4j-core,PluginElement
LazyInit,108,52,1,guava,LazyInit
Internal,98,77,1,httpclient,Internal
WeakOuter,87,32,1,guava,WeakOuter
JacksonStdImpl,81,49,1,jackson-databind,JacksonStdImpl
PluginFactory,70,70,1,log4j-core,PluginFactory
JsonProperty,68,9,1,log4j-core,JsonProperty
PluginBuilderFactory,63,61,1,log4j-core,PluginBuilderFactory
